project,cell_specimen_id,link_cell_specimen,cell_specimen_name,cell_or_cluster,hemisphere,flipped,link_slice_specimen,slice_histology_well,slice_biocytin_well,slide20x_barcode ,patched_cell_container,ephys_roi_result_id,recording_date,ephys_seal_gohm,tcp_sop,ephys_qc,rna_amplification_set,rna_amplification_qc,ephys_published_at,labtracks_id,reporters,drivers,cell_reporter,structure,cortex_layer,dendrite_type,apical,pin_z_coord,nwb_ready,has_nwb_download,image_series_20x_id,image_series_20x_qc,psw_20x_annotations,layer_20x_annotations,image_series_20x_tags,link_ims_20x,check_slide,ims63x_go_no_go,ims63x_imaging_started,image_series_63x_id,image_series_63x_qc,link_ims_63x,has_morph_thumb,has_inst_thres_thumb,has_sum_thumb,has_glif1,has_glif2,has_glif3,has_glif4,has_glif5,has_biophysical,has_active_dendrite,nwb_filename,swc_filename,marker_filename,swc_published_at
mIVSCC-MET,656440106,http://lims2/specimens?id=656440106,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-366183.04.02,EPhys_180102_01_B02_M,BIOCYTIN_180109_01_B02,500366853,P8S4_180103_351_A01,656440009,1/3/2018 23:25,1.913967488,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,366183,Ai65(RCFL-tdT),Calb1-IRES2-Cre Sst-IRES-FlpO,cre reporter positive,VISp,,,,,,,657483366,qc,,,,http://lims2/focal_plane_image_series?id=657483366,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656449594,http://lims2/specimens?id=656449594,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-366183.04.02,EPhys_180102_01_B02_M,BIOCYTIN_180109_01_B02,500366853,P8S4_180103_352_A01,656449579,1/3/2018 23:51,2.400468992,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,366183,Ai65(RCFL-tdT),Calb1-IRES2-Cre Sst-IRES-FlpO,cre reporter positive,VISp,,,,,,,657483366,qc,,,,http://lims2/focal_plane_image_series?id=657483366,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,654028397,http://lims2/specimens?id=654028397,Chat-IRES-Cre-neo;Ai14-364378.03.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364378.03.01,,,,,654028297,12/20/2017 17:42,2.56145792,V1 Coronal 107,auto_failed,,,,364378,Ai14(RCL-tdT),Chat-IRES-Cre-neo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,654337478,http://lims2/specimens?id=654337478,Chat-IRES-Cre-neo;Ai14-364379.06.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364379.06.01,EPhys_171218_01_B02_M,BIOCYTIN_180103_01_B02,500366989,PAS4_171220_451_A01,654337401,12/20/2017 22:52,6.879732736,V1 Coronal 107,auto_failed,A8S4_171222_01,passed,,364379,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp,,dendrite type - NA,apical - NA,,,,656866590,pending_ephys_qc,,,,http://lims2/focal_plane_image_series?id=656866590,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,654704107,http://lims2/specimens?id=654704107,Chat-IRES-Cre-neo;Ai14-364380.02.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364380.02.02,EPhys_171218_01_C01_M,BIOCYTIN_180103_01_C01,500366327,P9S4_171221_404_A01,654704047,12/21/2017 22:16,1.657705856,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,364380,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp,,,,,,,656866939,pending_ephys_qc,,,,http://lims2/focal_plane_image_series?id=656866939,,63x go,63x imaging started,667412787,image_qc_passed,http://lims2/focal_plane_image_series?id=667412787,,,,,,,,,,,,,,
mIVSCC-MET,654669793,http://lims2/specimens?id=654669793,Chat-IRES-Cre-neo;Ai14-364380.05.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364380.05.01,EPhys_171218_01_B05_M,BIOCYTIN_180103_01_B05,500367985,P9S4_171221_401_A01,654669604,12/21/2017 19:48,1.542473984,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,364380,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISpm4,,,,7304.19592,,,656866667,pending_ephys_qc,s,,,http://lims2/focal_plane_image_series?id=656866667,,63x go,63x imaging started,664459245,image_qc_passed,http://lims2/focal_plane_image_series?id=664459245,,,,,,,,,,,,,,
mIVSCC-MET,654705291,http://lims2/specimens?id=654705291,Chat-IRES-Cre-neo;Ai14-364380.05.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364380.05.02,EPhys_171218_01_C02_M,BIOCYTIN_180103_01_C02,500366253,PAS4_171221_451_A01,654705173,12/21/2017 22:22,1.081986816,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,364380,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp,,,,,,,656867187,pending_ephys_qc,,,,http://lims2/focal_plane_image_series?id=656867187,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,655108371,http://lims2/specimens?id=655108371,Chat-IRES-Cre-neo;Ai14-364381.03.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364381.03.02,EPhys_171218_01_C03_M,BIOCYTIN_180103_01_C03,500366069,P2S4_171222_051_A01,655108354,,,V1 Coronal 107,qc,A8S4_180111_06,failed,,364381,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp,,,,,,,656867225,pending_ephys_qc,,,,http://lims2/focal_plane_image_series?id=656867225,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,655113519,http://lims2/specimens?id=655113519,Chat-IRES-Cre-neo;Ai14-364381.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364381.04.02,EPhys_171218_01_C05_M,BIOCYTIN_180103_01_C05,500367747,P2S4_171222_052_A01,655113492,12/22/2017 19:50,1.980869376,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,364381,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,V3,,dendrite type - NA,apical - NA,5699.119575,,,656867492,pending_ephys_qc,,,,http://lims2/focal_plane_image_series?id=656867492,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,655120196,http://lims2/specimens?id=655120196,Chat-IRES-Cre-neo;Ai14-364381.04.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364381.04.02,EPhys_171218_01_C05_M,BIOCYTIN_180103_01_C05,500367747,P2S4_171222_053_A01,655120164,12/22/2017 20:20,1.64874688,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,364381,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp2/3,,,,2963.301191,,,656867492,pending_ephys_qc,s,,,http://lims2/focal_plane_image_series?id=656867492,,63x go,63x imaging started,664484309,image_qc_passed,http://lims2/focal_plane_image_series?id=664484309,,,,,,,,,,,,,,
mIVSCC-MET,655111709,http://lims2/specimens?id=655111709,Chat-IRES-Cre-neo;Ai14-364381.05.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-364381.05.02,EPhys_171218_01_C04_M,BIOCYTIN_180103_01_C04,500367931,PAS4_171222_451_A01,655111685,,,V1 Coronal 107,qc,A8S4_180111_06,failed,,364381,Ai14(RCL-tdT),Chat-IRES-Cre-neo,not applicable,VISp,,,,,,,656867244,pending_ephys_qc,,,,http://lims2/focal_plane_image_series?id=656867244,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656151146,http://lims2/specimens?id=656151146,Chat-IRES-Cre-neo;Ai14-365769.03.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-365769.03.01,EPhys_180102_01_A02_M,BIOCYTIN_180109_01_A02,500367037,P9S4_180102_402_A01,656151126,1/2/2018 21:48,1.291250432,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,365769,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp,,,,,,,657479419,qc,,,,http://lims2/focal_plane_image_series?id=657479419,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656149874,http://lims2/specimens?id=656149874,Chat-IRES-Cre-neo;Ai14-365769.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-365769.04.02,EPhys_180102_01_A03_M,BIOCYTIN_180109_01_A03,500366597,P8S4_180102_351_A01,656149856,1/2/2018 21:34,1.311044352,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,365769,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp,,,,,,,657481432,qc,,,,http://lims2/focal_plane_image_series?id=657481432,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
mIVSCC-MET,656151516,http://lims2/specimens?id=656151516,Chat-IRES-Cre-neo;Ai14-365769.04.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-365769.04.02,EPhys_180102_01_A03_M,BIOCYTIN_180109_01_A03,500366597,P8S4_180102_352_A01,656151495,1/2/2018 21:56,1.829528576,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,365769,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp,,,,,,,657481432,qc,,,,http://lims2/focal_plane_image_series?id=657481432,,,,,,,,,,,,,,,,,,,,
