,Date,Post patch?,Post patch pipette R,post patch class
0,2017-01-04,Outside-Out,,Outside out
4,2017-01-04,Outside-Out,,Outside out
8,2017-01-04,Outside-Out,,Outside out
10,2017-01-04,Outside-Out,,Outside out
12,2017-01-04,Outside-Out,,Outside out
20,2017-01-05,Outside-Out,,Outside out
21,2017-01-05,Outside-Out,,Outside out
24,2017-01-05,Outside-Out,,Outside out
25,2017-01-05,Outside-Out,,Outside out
26,2017-01-05,Outside-Out,,Outside out
29,2017-01-05,Outside-Out,,Outside out
31,2017-01-05,Outside-Out,,Outside out
34,2017-01-05,Outside-Out,,Outside out
39,2017-01-05,Outside-Out,,Outside out
46,2017-01-06,Outside-Out,,Outside out
49,2017-01-06,Outside-Out,,Outside out
50,2017-01-06,Outside-Out,,Outside out
59,2017-01-06,Outside-Out,,Outside out
62,2017-01-06,Outside-Out,,Outside out
63,2017-01-06,Outside-Out,,Outside out
70,2017-01-09,Outside-Out,,Outside out
71,2017-01-09,Outside-Out,,Outside out
77,2017-01-10,Outside-Out,,Outside out
78,2017-01-10,Outside-Out,,Outside out
80,2017-01-10,Outside-Out,,Outside out
81,2017-01-10,Outside-Out,,Outside out
82,2017-01-10,Outside-Out,,Outside out
97,2017-01-11,Outside-Out,,Outside out
98,2017-01-11,Outside-Out,,Outside out
100,2017-01-11,Outside-Out,,Outside out
108,2017-01-12,Outside-Out,,Outside out
109,2017-01-12,Outside-Out,,Outside out
112,2017-01-12,Outside-Out,,Outside out
117,2017-01-12,Outside-Out,,Outside out
124,2017-01-13,Outside-Out,,Outside out
125,2017-01-13,Outside-Out,,Outside out
127,2017-01-13,Outside-Out,,Outside out
129,2017-01-13,Outside-Out,,Outside out
130,2017-01-13,Outside-Out,,Outside out
136,2017-01-13,Outside-Out,,Outside out
138,2017-01-13,Outside-Out,,Outside out
147,2017-01-16,Outside-Out,,Outside out
155,2017-01-16,Outside-Out,,Outside out
156,2017-01-16,Outside-Out,,Outside out
162,2017-01-16,Outside-Out,,Outside out
163,2017-01-16,Outside-Out,,Outside out
171,2017-01-17,Outside-Out,,Outside out
172,2017-01-17,Outside-Out,,Outside out
173,2017-01-17,Outside-Out,,Outside out
175,2017-01-17,Outside-Out,,Outside out
176,2017-01-17,Outside-Out,,Outside out
177,2017-01-17,Outside-Out,,Outside out
180,2017-01-17,Outside-Out,,Outside out
181,2017-01-17,Outside-Out,,Outside out
182,2017-01-17,Outside-Out,,Outside out
183,2017-01-17,Outside-Out,,Outside out
184,2017-01-17,Outside-Out,,Outside out
187,2017-01-17,Outside-Out,,Outside out
197,2017-01-18,Outside-Out,,Outside out
198,2017-01-18,Outside-Out,,Outside out
201,2017-01-18,Outside-Out,,Outside out
202,2017-01-18,Outside-Out,,Outside out
203,2017-01-18,Outside-Out,,Outside out
204,2017-01-18,Outside-Out,,Outside out
213,2017-01-19,Outside-Out,,Outside out
214,2017-01-19,Outside-Out,,Outside out
215,2017-01-19,Outside-Out,,Outside out
221,2017-01-19,Outside-Out,,Outside out
222,2017-01-19,Outside-Out,,Outside out
230,2017-01-20,Outside-Out,,Outside out
233,2017-01-20,Outside-Out,,Outside out
234,2017-01-20,Outside-Out,,Outside out
235,2017-01-20,Outside-Out,,Outside out
239,2017-01-20,Outside-Out,,Outside out
241,2017-01-20,Outside-Out,,Outside out
250,2017-01-23,Outside-Out,,Outside out
251,2017-01-23,Outside-Out,,Outside out
252,2017-01-23,Outside-Out,,Outside out
253,2017-01-23,Outside-Out,,Outside out
254,2017-01-23,Outside-Out,,Outside out
255,2017-01-23,Outside-Out,,Outside out
258,2017-01-23,Outside-Out,,Outside out
259,2017-01-23,Outside-Out,,Outside out
260,2017-01-23,Outside-Out,,Outside out
262,2017-01-23,Outside-Out,,Outside out
266,2017-01-23,Outside-Out,,Outside out
278,2017-01-24,Outside-Out,,Outside out
281,2017-01-24,Outside-Out,,Outside out
282,2017-01-24,Outside-Out,,Outside out
286,2017-01-24,Outside-Out,,Outside out
287,2017-01-24,Outside-Out,,Outside out
289,2017-01-24,Outside-Out,,Outside out
290,2017-01-24,Outside-Out,,Outside out
298,2017-01-25,Outside-Out,,Outside out
299,2017-01-25,Outside-Out,,Outside out
300,2017-01-25,Outside-Out,,Outside out
301,2017-01-25,Outside-Out,,Outside out
